DATAFLOW,REF_AREA: Area,SDG_INDICATOR: SDG Indicator,SDG_SERIES: Series,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6102_443: Minimum proficiency in reading for primary, both sexes (Percentage)",A: Annual,2013,97
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6102_443: Minimum proficiency in reading for primary, both sexes (Percentage)",A: Annual,2015,91
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),VNM: Viet Nam,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2012,86.00301
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),VNM: Viet Nam,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2015,80.92297
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),THA: Thailand,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2003,56.00164
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),THA: Thailand,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2006,55.38226
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),THA: Thailand,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2009,57.13054
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),THA: Thailand,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2012,67.03059
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),THA: Thailand,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6099_443: Minimum proficiency in reading for lower secondary, both sexes (Percentage)",A: Annual,2015,50.02106
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2009,26.31371
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2015,37.08509
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),BGD: Bangladesh,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6091_443: Minimum proficiency in mathematics for primary, male (Percentage)",A: Annual,2011,51
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,1995,89.63541
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,1999,93.3414
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2003,85.6574
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2006,87.0328
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2007,88.4868
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2009,84.12645
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2011,89.10621
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2012,80.33285
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2015,78.02553
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IND: India,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2009,14.81449
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),CHN: China,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2009,95.74
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),CHN: China,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6087_443: Minimum proficiency in mathematics for lower secondary, female (Percentage)",A: Annual,2015,84.05
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),LKA: Sri Lanka,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2014,61.4
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),LKA: Sri Lanka,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2015,55
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),LKA: Sri Lanka,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2016,67.3
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),LKA: Sri Lanka,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2017,68
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,1995,85.75
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,2003,88.11
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,2007,91.11
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,2011,90.96
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,2015,94
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,2016,90.62
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AUS: Australia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6085_443: Minimum proficiency in mathematics for grade 2/3, male (Percentage)",A: Annual,2017,94.8
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2007,54.66
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2009,30.92489
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2011,61.85
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2015,40.09174
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,1999,51.94
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2003,21.99383
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2006,38.62566
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2007,47.18
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2009,22.89674
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2011,39.96
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2012,25.44135
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2015,30.40704
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IND: India,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6097_443: Minimum proficiency in reading for lower secondary, female (Percentage)",A: Annual,2009,21.49
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),CHN: China,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6096_443: Minimum proficiency in reading for grade 2/3, both sexes (Percentage)",A: Annual,2016,81.8
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AZE: Azerbaijan,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2006,89.4645
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),AZE: Azerbaijan,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2009,54.72519
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),MYS: Malaysia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6086_443: Minimum proficiency in mathematics for grade 2/3, both sexes (Percentage)",A: Annual,2017,70.9708
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,1995,64.99
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,1999,65.73
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2003,52.08
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2007,48.99
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2011,55.44
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6088_443: Minimum proficiency in mathematics for lower secondary, male (Percentage)",A: Annual,2015,61.87
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IND: India,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6095_443: Minimum proficiency in reading for grade 2/3, male (Percentage)",A: Annual,2016,24.15
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),VNM: Viet Nam,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6097_443: Minimum proficiency in reading for lower secondary, female (Percentage)",A: Annual,2012,94.56032
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),VNM: Viet Nam,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6097_443: Minimum proficiency in reading for lower secondary, female (Percentage)",A: Annual,2015,91.15019
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2003,59.283
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2006,56.44549
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2009,63.71372
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2012,70.44817
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),RUS: Russian Federation,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6098_443: Minimum proficiency in reading for lower secondary, male (Percentage)",A: Annual,2015,79.35773
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,1999,50.4526
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2003,21.86334
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2006,34.23572
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2007,48.40209
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2009,23.33033
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2011,43.06737
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2012,24.30606
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IDN: Indonesia,G04_01_01: 4.1.1 - Reading and mathematics proficiency of children and young people,"6089_443: Minimum proficiency in mathematics for lower secondary, both sexes (Percentage)",A: Annual,2015,31.35022
