DATAFLOW,REF_AREA: Area,THEME_INDICATOR: Indicator,THEME_SERIES: Series,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,51.36
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,53.46
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,54.34
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,54.69
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,55.02
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,56.02
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,56.82
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,55.64
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,53.57
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,55.64
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,54.67
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,55.01
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,55.34
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,56.21
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,56.21
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),JPN: Japan,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,56.21
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,41.33
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,42.3
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,39.68
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,39.42
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,37.55
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,39.61
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,36.5
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,34.64
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,38.53
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,40.56
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,39.21
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,41.14
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,40.21
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,38.21
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,38.86
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,38.76
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),IND: India,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2016,38.76
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2000,42.88
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2001,42.73
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2002,43.88
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2003,43.65
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2004,43.14
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2005,42.44
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2006,42.33
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2007,42.07
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2008,41.38
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2009,41.38
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2010,41.38
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2011,41.45
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2012,41.45
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2013,41.45
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2014,41.45
ESCAP:DF_ESCAP_THEME_Dataflow(1.0),CHN: China,MED_HIGH_TECH_IND: Medium and high technology industry,4421_4422: Medium and high-tech industry value added (% of total value added),A: Annual,2015,41.45
